"journal","issn","quartile","impact_factor","category","jcr_year"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","Q1","685.2","ONCOLOGY","2025"
"CA-A CANCER JOURNAL FOR CLINICIANS","1542-4863","Q1","685.2","ONCOLOGY","2025"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","Q1","118.0","CELL BIOLOGY","2025"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0080","Q1","118.0","CELL BIOLOGY","2025"
"LANCET","0140-6736","Q1","109.0","MEDICINE, GENERAL & INTERNAL","2025"
"LANCET","1474-547X","Q1","109.0","MEDICINE, GENERAL & INTERNAL","2025"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","Q1","104.6","MICROBIOLOGY","2025"
"NATURE REVIEWS MICROBIOLOGY","1740-1534","Q1","104.6","MICROBIOLOGY","2025"
"MMWR Surveillance Summaries","1545-8636","Q1","96.9","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Nature Reviews Clinical Oncology","1759-4774","Q1","94.6","ONCOLOGY","2025"
"Nature Reviews Clinical Oncology","1759-4782","Q1","94.6","ONCOLOGY","2025"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","Q1","91.2","Multiple","2025"
"NATURE REVIEWS DRUG DISCOVERY","1474-1784","Q1","91.2","Multiple","2025"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","Q1","84.5","MEDICINE, GENERAL & INTERNAL","2025"
"NEW ENGLAND JOURNAL OF MEDICINE","1533-4406","Q1","84.5","MEDICINE, GENERAL & INTERNAL","2025"
"Nature Reviews Materials","2058-8437","Q1","83.3","Multiple","2025"
"Signal Transduction and Targeted Therapy","2095-9907","Q1","81.2","Multiple","2025"
"Signal Transduction and Targeted Therapy","2059-3635","Q1","81.2","Multiple","2025"
"ANNALS OF ONCOLOGY","0923-7534","Q1","80.4","ONCOLOGY","2025"
"ANNALS OF ONCOLOGY","1569-8041","Q1","80.4","ONCOLOGY","2025"
"Nature Reviews Disease Primers","2056-676X","Q1","79.8","MEDICINE, GENERAL & INTERNAL","2025"
"World Psychiatry","1723-8617","Q1","79.5","PSYCHIATRY","2025"
"World Psychiatry","2051-5545","Q1","79.5","PSYCHIATRY","2025"
"Nature Reviews Earth & Environment","N/A","Q1","74.1","Multiple","2025"
"Nature Reviews Earth & Environment","2662-138X","Q1","74.1","Multiple","2025"
"Nature Energy","2058-7546","Q1","70.1","Multiple","2025"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","Q1","65.4","MEDICINE, GENERAL & INTERNAL","2025"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","1538-3598","Q1","65.4","MEDICINE, GENERAL & INTERNAL","2025"
"Living Reviews in Relativity","2367-3613","Q1","64.6","PHYSICS, PARTICLES & FIELDS","2025"
"Living Reviews in Relativity","1433-8351","Q1","64.6","PHYSICS, PARTICLES & FIELDS","2025"
"CHEMICAL REVIEWS","0009-2665","Q1","64.2","CHEMISTRY, MULTIDISCIPLINARY","2025"
"CHEMICAL REVIEWS","1520-6890","Q1","64.2","CHEMISTRY, MULTIDISCIPLINARY","2025"
"NATURE REVIEWS CANCER","1474-175X","Q1","60.7","ONCOLOGY","2025"
"NATURE REVIEWS CANCER","1474-1768","Q1","60.7","ONCOLOGY","2025"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","Q1","57.5","GASTROENTEROLOGY & HEPATOLOGY","2025"
"Nature Reviews Gastroenterology & Hepatology","1759-5053","Q1","57.5","GASTROENTEROLOGY & HEPATOLOGY","2025"
"NATURE","0028-0836","Q1","56.1","MULTIDISCIPLINARY SCIENCES","2025"
"NATURE","1476-4687","Q1","56.1","MULTIDISCIPLINARY SCIENCES","2025"
"CANCER CELL","1535-6108","Q1","56.1","Multiple","2025"
"CANCER CELL","1878-3686","Q1","56.1","Multiple","2025"
"Annual Review of Organizational Psychology and Organizational Behavior","2327-0608","Q1","55.9","Multiple","2025"
"Annual Review of Organizational Psychology and Organizational Behavior","2327-0616","Q1","55.9","Multiple","2025"
"BMJ-British Medical Journal","0959-535X","Q1","55.1","MEDICINE, GENERAL & INTERNAL","2025"
"BMJ-British Medical Journal","1756-1833","Q1","55.1","MEDICINE, GENERAL & INTERNAL","2025"
"LANCET NEUROLOGY","1474-4422","Q1","54.6","CLINICAL NEUROLOGY","2025"
"LANCET NEUROLOGY","1474-4465","Q1","54.6","CLINICAL NEUROLOGY","2025"
"Nature Reviews Methods Primers","N/A","Q1","54.2","MULTIDISCIPLINARY SCIENCES","2025"
"Nature Reviews Methods Primers","2662-8449","Q1","54.2","MULTIDISCIPLINARY SCIENCES","2025"
"eScience","2097-2431","Q1","52.9","Multiple","2025"
"eScience","2667-1417","Q1","52.9","Multiple","2025"
"NATURE MEDICINE","1078-8956","Q1","52.5","Multiple","2025"
"NATURE MEDICINE","1546-170X","Q1","52.5","Multiple","2025"
"NATURE REVIEWS GENETICS","1471-0056","Q1","51.4","GENETICS & HEREDITY","2025"
"NATURE REVIEWS GENETICS","1471-0064","Q1","51.4","GENETICS & HEREDITY","2025"
"MMWR Recommendations and Reports","1057-5987","Q1","51.3","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"MMWR Recommendations and Reports","1545-8601","Q1","51.3","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Electrochemical Energy Reviews","2520-8489","Q1","50.7","ELECTROCHEMISTRY","2025"
"Electrochemical Energy Reviews","2520-8136","Q1","50.7","ELECTROCHEMISTRY","2025"
"IEEE Communications Surveys and Tutorials","N/A","Q1","50.6","Multiple","2025"
"IEEE Communications Surveys and Tutorials","1553-877X","Q1","50.6","Multiple","2025"
"Nature Reviews Chemistry","N/A","Q1","50.3","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Nature Reviews Chemistry","2397-3358","Q1","50.3","CHEMISTRY, MULTIDISCIPLINARY","2025"
"Nature Reviews Cardiology","1759-5002","Q1","50.2","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"Nature Reviews Cardiology","1759-5010","Q1","50.2","CARDIAC & CARDIOVASCULAR SYSTEMS","2025"
"REVIEWS OF MODERN PHYSICS","0034-6861","Q1","48.9","PHYSICS, MULTIDISCIPLINARY","2025"
"REVIEWS OF MODERN PHYSICS","1539-0756","Q1","48.9","PHYSICS, MULTIDISCIPLINARY","2025"
"Nature Catalysis","2520-1158","Q1","48.3","CHEMISTRY, PHYSICAL","2025"
"CHEMICAL SOCIETY REVIEWS","0306-0012","Q1","48.3","CHEMISTRY, MULTIDISCIPLINARY","2025"
